Name;ISIN;Symbol;Market;Currency;"Open Price";"High Price";"low Price";"last Price";"last Trade MIC Time";"Time Zone";Volume;Turnover;"Closing Price";"Closing Price DateTime"
"LA PERLA FASHION";NL0012191662;ALPER;"Euronext Growth Paris";EUR;7.20;7.20;7.20;7.20;"03/07/2023 09:00";CET;1;7.20;7.20;12/12/2023
"LACROIX GROUP";FR0000066607;LACR;"Euronext Paris";EUR;28.10;28.20;27.60;27.90;"12/12/2023 17:35";CET;1338;37266.40;27.90;12/12/2023
"LAGARDERE SA";FR0000130213;MMB;"Euronext Paris";EUR;18.50;18.54;18.30;18.30;"12/12/2023 17:35";CET;5584;102721.02;18.30;12/12/2023
LANSON-BCC;FR0004027068;ALLAN;"Euronext Growth Paris";EUR;40.60;41.00;40.40;41.00;"12/12/2023 17:20";CET;968;39508.60;41.00;12/12/2023
LARGO;FR0013308582;ALLGO;"Euronext Growth Paris";EUR;1.595;1.61;1.55;1.55;"12/12/2023 17:35";CET;1122;1772.10;1.55;12/12/2023
LATECOERE;FR001400JY13;LAT;"Euronext Paris";EUR;0.0155;0.0155;0.0151;0.0151;"12/12/2023 17:35";CET;2642388;40334.45;0.0151;12/12/2023
LAURENT-PERRIER;FR0006864484;LPE;"Euronext Paris";EUR;119.50;119.50;119.00;119.50;"12/12/2023 17:35";CET;37;4417.00;119.50;12/12/2023
LDC;FR0013204336;LOUP;"Euronext Paris";EUR;130.00;135.00;130.00;135.00;"12/12/2023 17:35";CET;1382;182865.50;135.00;12/12/2023
LEBON;FR0000121295;ALBON;"Euronext Growth Paris";EUR;95.00;95.20;92.80;94.00;"12/12/2023 16:05";CET;206;19395.00;94.00;12/12/2023
LECTRA;FR0000065484;LSS;"Euronext Paris";EUR;28.90;28.95;28.15;28.95;"12/12/2023 17:35";CET;17050;490101.20;28.95;12/12/2023
LEGRAND;FR0010307819;LR;"Euronext Paris";EUR;94.50;95.40;94.50;94.80;"12/12/2023 17:35";CET;402836;38218910.06;94.80;12/12/2023
LEPERMISLIBRE;FR001400F2Z1;ALLPL;"Euronext Growth Paris";EUR;0.905;0.905;0.88;0.88;"12/12/2023 17:00";CET;1144;1012.23;0.88;12/12/2023
